epoch,costo_total,main_loss,preds_loss,vista_0_PPI,vista_1_Co-expression,vista_2_ME,vista_3_ProteinComplex,vista_4_Pathway
10,0.79357874,0.034825526,0.08444461,0.14709327,0.14690126,0.47483268,0.31204072,0.09886013
20,0.4944126,0.029175268,0.037570015,0.10910052,0.11915684,0.23451732,0.21880808,0.09861175
30,0.44323358,0.027323682,0.04546655,0.11530318,0.092090204,0.16030583,0.18962678,0.09262756
40,0.36323267,0.0173758,0.027330216,0.08540723,0.08585248,0.18254364,0.12545499,0.10313453
50,0.3508588,0.039278794,0.022008555,0.08613422,0.08394047,0.148351,0.121404774,0.09529536
60,0.31867212,0.021069517,0.021002982,0.09347754,0.084730886,0.12503155,0.10628708,0.10166624
70,0.3260475,0.025736157,0.028388439,0.079683475,0.08178619,0.13380422,0.09876049,0.093034565
80,0.32810616,0.018347258,0.039608948,0.075838245,0.07570783,0.12179955,0.091178685,0.09655766
90,0.287292,0.035644,0.017632129,0.07189994,0.07181547,0.11121011,0.08240512,0.095436834
100,0.29794014,0.01847024,0.03670673,0.083628096,0.06527194,0.10381111,0.06969914,0.08970262
110,0.2805161,0.03282113,0.018735262,0.068766356,0.07221676,0.10638665,0.07383384,0.09924528
120,0.26166612,0.020485377,0.020617176,0.0703632,0.06980198,0.088589594,0.076882534,0.094255514
130,0.26843065,0.017260207,0.02873309,0.0701945,0.06169454,0.09309818,0.07286268,0.0895587
140,0.26018032,0.0213906,0.024788309,0.06901611,0.060180176,0.087551825,0.06438417,0.097293936
150,0.26703238,0.038495623,0.01909105,0.07293246,0.064301066,0.09159809,0.058373734,0.09350402
160,0.25891173,0.029940879,0.016991997,0.070621796,0.066970736,0.08620277,0.06493737,0.10124106
170,0.25697652,0.0344077,0.020156398,0.068961605,0.060730677,0.07356504,0.06723327,0.09402146
180,0.24989918,0.019274242,0.0278908,0.07269267,0.05806866,0.06398777,0.064977676,0.08995989
190,0.2433554,0.03602208,0.015066006,0.06980033,0.057390876,0.0776146,0.060458418,0.08913836
200,0.24206187,0.043738265,0.015127845,0.056689456,0.062072158,0.07004005,0.05532611,0.09200805
10,0.65906024,0.03501366,0.04961173,0.38353965,0.16157107,0.2724587,0.13241601,0.099660896
20,0.51408434,0.066491365,0.054324843,0.17501153,0.10408169,0.16627517,0.13041697,0.10210125
30,0.42782742,0.03253145,0.04414678,0.14961378,0.100172766,0.123830706,0.119257525,0.12113002
40,0.36192226,0.037076768,0.023036053,0.14827646,0.08765068,0.11454687,0.104986966,0.10208584
50,0.32481918,0.03547405,0.025246305,0.11644759,0.08097367,0.10487899,0.07770943,0.09769536
60,0.29969567,0.018889626,0.024761338,0.11790398,0.078186035,0.097704105,0.07753439,0.09123817
70,0.31594867,0.048168942,0.02120936,0.11842001,0.07784016,0.08359458,0.07914721,0.091720015
80,0.28786343,0.032405093,0.021032019,0.106224455,0.06986671,0.08716499,0.07149627,0.09203619
90,0.2722094,0.025826653,0.02052817,0.09567575,0.07238928,0.082537055,0.062246587,0.09780417
100,0.25761855,0.03695552,0.017672477,0.08797263,0.06261147,0.08232722,0.049986415,0.08773842
110,0.27402282,0.015607415,0.034240726,0.10736268,0.061662577,0.055648874,0.06412174,0.091072
120,0.2532477,0.023359189,0.022778416,0.09006949,0.07678441,0.05513264,0.05212573,0.09455108
130,0.24906455,0.02220329,0.02643642,0.086365156,0.06304019,0.055728458,0.050212186,0.09263086
140,0.24621336,0.036109846,0.017382959,0.07900061,0.067262635,0.052043602,0.0589543,0.093414046
150,0.23487127,0.029209105,0.018931102,0.07976532,0.05986895,0.052605957,0.050659914,0.09269977
160,0.24018802,0.026048746,0.022583062,0.0740087,0.051267155,0.06629188,0.055571254,0.09080732
170,0.24133989,0.028385326,0.016333291,0.08166634,0.07099054,0.062264778,0.053113908,0.09254041
180,0.23454012,0.041122746,0.014011788,0.081065506,0.058765676,0.047151603,0.051250674,0.092554145
190,0.23062803,0.02894417,0.017538285,0.07293842,0.062612996,0.051447257,0.05325108,0.092964835
200,0.22630082,0.02406469,0.020799214,0.072804935,0.054797202,0.04937826,0.05129179,0.09300323
10,0.77750397,0.07546212,0.05757232,0.23560475,0.14809248,0.31949404,0.35383803,0.11676531
20,0.47386068,0.019329237,0.043159306,0.16998474,0.09879307,0.17143364,0.19009635,0.10611786
30,0.38795522,0.037599415,0.029665636,0.11751078,0.09241825,0.12400324,0.1479689,0.100147896
40,0.37458473,0.020515554,0.03698791,0.111562215,0.09579239,0.111219116,0.14168568,0.09992732
50,0.33439726,0.03701546,0.020194719,0.1210924,0.08833646,0.09301863,0.11667754,0.094859645
60,0.32390544,0.021635313,0.022109007,0.11110073,0.08551536,0.099374995,0.11663306,0.10348013
70,0.31804612,0.024884125,0.025710132,0.09746028,0.074810214,0.10623082,0.110997796,0.09398437
