,0,1,2
0,CDA,RPS6KL1,1.1186587810516357
1,PRKAG3,SLC28A1,1.1134027242660522
2,HIPK1,SLC29A2,1.1091225147247314
3,SLC29A1,SNRK,1.1074929237365723
4,HCK,SLC29A2,1.106886863708496
5,CDKL5,DCK,1.1052985191345215
6,SLC29A1,STK33,1.0936543941497803
7,CMPK1,PRKAG3,1.0873702764511108
8,DAPK2,SLC29A2,1.075295090675354
9,GRK6,SLC29A2,1.0680066347122192
10,PDPK1,SLC29A2,1.0587587356567383
11,FER,SLC29A2,1.0577484369277954
12,ABCB1,STK17A,1.0508211851119995
13,AURKA,CDA,1.0502680540084839
14,MAP3K7,SLC29A2,1.0472772121429443
15,RIPK1,SLC29A2,1.0395227670669556
16,CSNK1D,SLC29A1,1.03687584400177
17,ABCC10,TAOK3,1.0346391201019287
18,MARK1,SLC28A1,1.0297906398773193
19,CSNK1E,SLC29A2,1.0204672813415527
20,KHK,SLC29A2,1.0202280282974243
21,ABCC10,PRKD2,1.0172467231750488
22,AK1,DCK,1.0141899585723877
23,CALM1,SLC29A1,1.0138558149337769
24,CMPK1,KHK,1.0132848024368286
25,MAP4K5,SLC28A1,1.0052893161773682
26,PRKD2,TYMS,1.0052847862243652
27,CSNK1E,SLC29A1,1.0025984048843384
28,CDA,MARK1,1.0017220973968506
29,MAP3K7,SLC28A1,1.0016294717788696
30,RIPK2,RRM1,0.9950852394104004
31,DAPK2,TYMS,0.991606593132019
32,FER,RRM1,0.9910041093826294
33,CSK,DCK,0.9889165163040161
34,RIPK1,SLC28A1,0.9883363842964172
35,EPHB1,SLC28A1,0.9882501363754272
36,CSNK1E,SLC28A1,0.9841264486312866
37,GRK6,TYMS,0.9828821420669556
38,MAPKAPK2,SLC29A1,0.980341911315918
39,CSK,RRM1,0.979058027267456
40,KHK,SLC29A1,0.9780208468437195
41,ABCC10,ITPKC,0.9719140529632568
42,PANK2,SLC29A1,0.9682894945144653
43,CAMK1D,RRM1,0.9664103388786316
44,CKS2,SLC28A1,0.9652754068374634
45,RRM1,TNNI3K,0.9624043703079224
46,CDA,DGKA,0.9605129957199097
47,MAPKAP1,SLC28A1,0.9592342376708984
48,ABCC10,EPHB1,0.954086422920227
49,PAK1,RRM1,0.9517912864685059
50,ABCC10,CAMK1D,0.9418870806694031
51,CMPK1,RIPK4,0.941693902015686
52,RIPK4,TYMS,0.9404675364494324
53,PLK3,SLC29A2,0.9400786757469177
54,CDA,LMTK2,0.9390519857406616
55,CMPK1,MAGI3,0.9381848573684692
56,CAMK1,SLC28A1,0.9370076060295105
57,ABCC10,MAPKAP1,0.9365284442901611
58,ABCC10,ATR,0.9339796304702759
59,MAGI3,SLC28A1,0.9311824440956116
60,ABCB1,TAOK3,0.9281667470932007
61,MAGI3,RRM1,0.9281119108200073
62,CAMK1,RRM1,0.9258974194526672
63,AK1,SLC28A1,0.9245420694351196
64,CDA,RIPK4,0.9223936796188354
65,LMTK2,TYMS,0.9194170236587524
66,DCK,RIPK2,0.9191452860832214
67,ABCC10,UCK1,0.9136888980865479
68,CDA,UCK1,0.9121090769767761
69,AURKAIP1,TYMS,0.9105712175369263
70,MAP2K7,TYMS,0.9070482850074768
71,ABCC10,FLT1,0.9064735770225525
72,ABCB1,TYRO3,0.9048880338668823
73,CMPK1,PI4K2A,0.9046033620834351
74,CDA,CKS2,0.9022748470306396
75,STYXL1,TYMS,0.9021314382553101
76,PI4K2A,SLC29A1,0.8998838663101196
77,TAB2,TYMS,0.8987352848052979
78,DCK,WNK4,0.898108720779419
79,DCK,PANK2,0.8974053859710693
80,CAMK1,TYMS,0.8971174955368042
81,DCK,ITPKC,0.8956987857818604
82,ABCC10,AURKAIP1,0.8940755128860474
83,SLC29A1,WNK4,0.8936312198638916
84,ABCC10,AURKA,0.8909100294113159
85,DCK,PAK1,0.8875861167907715
86,CMPK1,PKIA,0.8707082271575928
87,ABCC10,PI4K2A,0.8700156211853027
88,ABCB1,ATR,0.8678070306777954
89,DCK,LMTK2,0.8673816919326782
90,ABCB1,EPHB1,0.8582754135131836
91,CDA,PKMYT1,0.8577272891998291
92,ABCB1,WNK4,0.8572647571563721
93,DCK,RIPK4,0.8569599390029907
94,CDA,STYXL1,0.8563007712364197
95,ABCC10,STYXL1,0.8543071746826172
96,PKIA,SLC29A1,0.8510124683380127
97,PI4K2A,TYMS,0.8490880727767944
98,SLC29A1,TAB2,0.845163106918335
99,ABCB1,MAPKAPK2,0.8438727855682373
100,DCK,TAB2,0.8432230949401855
101,CMPK1,VRK3,0.8428747653961182
102,ABCB1,CALM1,0.8424275517463684
103,ABCB1,PLK3,0.8400158286094666
104,DCK,MAP2K7,0.8383769392967224
105,DCK,PLK3,0.8350560069084167
106,CDKN2A,SLC29A2,0.8305553197860718
107,ABCC10,VRK3,0.8256741762161255
108,ABCB1,FLT1,0.8232167959213257
109,ABCB1,AURKAIP1,0.816948413848877
110,DCK,PKIA,0.8162863254547119
111,ABCB1,AURKA,0.8141891956329346
112,SLC29A1,VRK3,0.8115286231040955
113,CDKN2A,SLC29A1,0.8103204965591431
114,SLC29A2,TAB2,0.806464672088623
115,PKIA,RRM1,0.8046919107437134
116,CDKN2A,SLC28A1,0.7956010103225708
117,SLC29A1,STYXL1,0.7852667570114136
118,SLC28A1,TAB2,0.7844895124435425
119,RRM1,UCK1,0.7759854793548584
120,DCK,SPHK1,0.7750003337860107
121,ABCB1,PKIA,0.7652132511138916
122,ABCB1,PI4K2A,0.7611808776855469
123,SLC29A2,SPHK1,0.7599637508392334
124,CDKN2A,TYMS,0.7578579187393188
125,RRM1,TAB2,0.757334291934967
126,SLC29A2,STYXL1,0.7572566270828247
127,TYMS,VRK3,0.7520084381103516
128,ABCB1,VRK3,0.7502702474594116
129,KDR,SLC28A1,0.7438284158706665
130,SLC28A1,STYXL1,0.729057788848877
131,SLC28A1,SPHK1,0.7270381450653076
132,CDA,KDR,0.7201813459396362
133,KDR,RRM1,0.719916582107544
134,RRM1,STYXL1,0.7182539105415344
