,0,1,2
0,CMPK1,GRK6,1.1232216358184814
1,PANK2,SLC28A1,1.116936445236206
2,DCK,MAP3K7,1.0938992500305176
3,DCK,RIPK4,1.0768133401870728
4,SLC28A1,SNRK,1.076336145401001
5,SLC28A1,TAB2,1.0741019248962402
6,ITPKC,SLC29A2,1.0696442127227783
7,SLC29A2,TAB2,1.0622140169143677
8,PKMYT1,SLC29A2,1.059997320175171
9,DCK,UCK1,1.0508661270141602
10,CDKL5,SLC29A1,1.0479497909545898
11,CSNK1E,DCK,1.0428826808929443
12,RIPK4,RRM1,1.042354941368103
13,SLC29A2,TNNI3K,1.0397725105285645
14,CMPK1,SNRK,1.0371501445770264
15,FER,SLC29A1,1.0363476276397705
16,ABCC10,PDPK1,1.0355477333068848
17,DCK,STK17A,1.034684181213379
18,ATR,SLC29A2,1.0223658084869385
19,EPHB1,SLC29A2,1.0213578939437866
20,CAMK1,SLC29A1,1.0199127197265625
21,DCK,MARK1,1.017155408859253
22,CDC42BPA,SLC29A2,1.0139857530593872
23,SLC29A1,TAB2,1.0067546367645264
24,LMTK2,SLC29A1,1.004467487335205
25,ABCC10,AURKA,1.0040919780731201
26,MAPKAPK2,SLC28A1,1.0007495880126953
27,CKS2,SLC29A1,0.9994786977767944
28,ABCC10,WNK4,0.9991413354873657
29,CDA,RIPK4,0.9957993626594543
30,ABCC10,TK2,0.9940798282623291
31,SLC29A1,TNNI3K,0.993159830570221
32,SLC28A1,UCK1,0.9920207858085632
33,CAMK1D,CMPK1,0.9902666807174683
34,RRM1,TAB2,0.989590585231781
35,MAGI3,TYMS,0.9880891442298889
36,SLC28A1,TYRO3,0.9875625371932983
37,CMPK1,RIPK4,0.9874836206436157
38,CDC42BPA,TYMS,0.9869339466094971
39,CDA,EPHB1,0.9856226444244385
40,ABCB1,MAP2K7,0.9785159826278687
41,DCK,STYXL1,0.9780564308166504
42,CMPK1,STK17A,0.9745526313781738
43,ABCB1,LMTK2,0.9744634628295898
44,ATR,TYMS,0.9732953906059265
45,HCK,SLC28A1,0.9717721939086914
46,CMPK1,DAPK2,0.970400333404541
47,MAP4K5,RRM1,0.9688871502876282
48,PKIA,SLC28A1,0.967242956161499
49,CSNK1D,TYMS,0.965823769569397
50,CDA,TAOK3,0.9658074378967285
51,DAPK2,SLC29A1,0.9615113735198975
52,ABCB1,MAP3K7,0.9614071846008301
53,SLC29A2,TK2,0.9586142897605896
54,CDA,MAPKAPK3,0.9583345055580139
55,ABCC10,CSK,0.9573692679405212
56,MAPKAPK2,RRM1,0.9547860026359558
57,MAGI3,SLC29A2,0.9543973207473755
58,CDKN2A,CMPK1,0.9540963172912598
59,CDA,CSNK1D,0.9532343149185181
60,FLT1,RRM1,0.9519776701927185
61,RIPK1,RRM1,0.9516341686248779
62,ABCB1,CKS2,0.9511536359786987
63,AURKAIP1,SLC28A1,0.9510637521743774
64,AURKAIP1,DCK,0.946447491645813
65,SLC29A1,TAOK3,0.9435334205627441
66,RIPK2,SLC29A2,0.9429360628128052
67,SLC29A2,TYRO3,0.9427905082702637
68,SLC28A1,STYXL1,0.9424228668212891
69,MAPKAPK3,TYMS,0.9380933046340942
70,CDA,MAGI3,0.9365522265434265
71,MAP4K5,TYMS,0.9351135492324829
72,CMPK1,MAPKAPK2,0.9326661229133606
73,CMPK1,FLT1,0.9312264919281006
74,PRKAG3,SLC29A2,0.9307565689086914
75,CALM1,SLC29A2,0.9286367893218994
76,HCK,RRM1,0.9268358945846558
77,PRKAG3,TYMS,0.9264158606529236
78,PRKAG3,RRM1,0.9236109256744385
79,ABCB1,CSK,0.9219715595245361
80,CDA,FLT1,0.9202291369438171
81,SLC29A2,STYXL1,0.9197766780853271
82,CDKN2A,TYMS,0.9185656309127808
83,ABCB1,AURKA,0.9173610210418701
84,ABCC10,SPHK1,0.9169881343841553
85,RIPK1,TYMS,0.9157201051712036
86,MARK1,RRM1,0.9152343273162842
87,CSK,DCK,0.9146208167076111
88,DCK,KHK,0.9145367741584778
89,CDA,PKIA,0.9120925664901733
90,STK17A,TYMS,0.9082592725753784
91,ABCB1,TK2,0.908218502998352
92,CMPK1,RIPK1,0.9064195156097412
93,ABCC10,KDR,0.9055801630020142
94,ABCC10,DGKA,0.9048475027084351
95,CDA,HCK,0.9012864232063293
96,CALM1,RRM1,0.8981186747550964
97,MARK1,TYMS,0.8942883014678955
98,PRKD3,SLC28A1,0.8940209150314331
99,DGKA,RRM1,0.8933373689651489
100,KDR,RRM1,0.892656147480011
101,PLK3,RRM1,0.8895030617713928
102,CMPK1,RIPK2,0.8890670537948608
103,PLK3,SLC29A1,0.8861263990402222
104,CDA,KHK,0.8850597143173218
105,CMPK1,KDR,0.8843994736671448
106,DGKA,SLC29A1,0.8826850652694702
107,RIPK2,SLC29A1,0.8775587677955627
108,CMPK1,HIPK1,0.8775213360786438
109,ABCB1,RIPK1,0.8738110065460205
110,SLC29A1,STYXL1,0.873623788356781
111,MARK1,SLC29A1,0.8719656467437744
112,ABCB1,PRKAG3,0.8715841770172119
113,KHK,TYMS,0.869994580745697
114,HIPK1,SLC29A1,0.8694437742233276
115,RRM1,STYXL1,0.868378221988678
116,ABCC10,PRKD3,0.864794135093689
117,RIPK2,TYMS,0.8631197214126587
118,ABCB1,HIPK1,0.8617955446243286
119,CMPK1,SPHK1,0.8582549095153809
120,ABCB1,HCK,0.8567426204681396
121,CMPK1,PRKD3,0.8550598621368408
122,KDR,TYMS,0.8493326902389526
123,ABCC10,CALM1,0.8398793935775757
124,CDA,PLK3,0.8359155654907227
125,CMPK1,PLK3,0.8276718854904175
126,SLC29A2,STK33,0.8199971914291382
127,TYMS,SPHK1,0.8124783039093018
128,CMPK1,STK33,0.8116558194160461
129,DCK,NEK6,0.809272050857544
130,RRM1,SPHK1,0.805937647819519
131,ABCB1,PRKD3,0.8021486401557922
