epoch,costo_total,main_loss,preds_loss,vista_0_PPI,vista_1_Co-expression,vista_2_ME,vista_3_ProteinComplex,vista_4_Pathway
10,0.21823584,0.028524948,0.02915055,0.045091953,0.045570187,0.07017089,0.057419337,0.044567216
20,0.18364516,0.02327256,0.023104137,0.043573905,0.04324365,0.048988372,0.047612313,0.0449104
30,0.17644352,0.02161085,0.022246448,0.043174446,0.043603126,0.044675734,0.044927597,0.044298638
40,0.17043936,0.021971758,0.021768456,0.041960925,0.041925564,0.041291174,0.040696055,0.043987647
50,0.16409895,0.02065795,0.020543905,0.042007104,0.04096601,0.038542084,0.03935841,0.04383276
60,0.1619919,0.02003155,0.020611303,0.04167675,0.041068673,0.03705601,0.03727835,0.04439567
70,0.15916692,0.020981982,0.019425694,0.041049413,0.0404633,0.03553189,0.037242983,0.04437951
80,0.15547357,0.020159328,0.018992411,0.04061144,0.03932231,0.033904523,0.037094288,0.0437263
90,0.15323687,0.019470057,0.018381136,0.040535484,0.040202662,0.03304154,0.036212333,0.044017058
100,0.15257412,0.020393586,0.01849395,0.04030269,0.039322417,0.03184599,0.035253182,0.043660987
110,0.15110876,0.020828852,0.018351227,0.038727768,0.038882863,0.031200761,0.034753796,0.043589693
120,0.14948946,0.018005038,0.01949606,0.039521035,0.038097527,0.030561017,0.0335848,0.043220203
130,0.146736,0.019073287,0.017512523,0.039501365,0.039112378,0.029796576,0.033489518,0.04337548
140,0.14570726,0.01789908,0.018140797,0.03854401,0.03904309,0.029224798,0.03295376,0.043287516
150,0.144114,0.018702267,0.017403938,0.038286753,0.038500905,0.028373726,0.032741472,0.04330486
160,0.14357197,0.017677985,0.017977847,0.037880138,0.038200416,0.02762036,0.033054423,0.04312127
170,0.14360783,0.019905014,0.017072296,0.03741126,0.03805349,0.02749906,0.032726508,0.043426115
180,0.14247575,0.019983593,0.016579142,0.038067106,0.038588464,0.026621249,0.032247636,0.043143295
190,0.14169179,0.018283132,0.01733705,0.037936922,0.03787963,0.026132768,0.032485984,0.043033786
200,0.13982366,0.017500352,0.017655041,0.037018374,0.036990482,0.025759561,0.03113211,0.043125913
10,0.23135918,0.03023792,0.030976336,0.04950736,0.045987185,0.079434074,0.05683182,0.046576776
20,0.19578953,0.025774224,0.024807744,0.0476128,0.04377133,0.058246907,0.04649538,0.044673212
30,0.18192513,0.0230831,0.022606596,0.04436094,0.043448936,0.051725034,0.04200887,0.0457139
40,0.17693023,0.02216952,0.02315467,0.04423952,0.04162302,0.04558989,0.04071422,0.0447361
50,0.16961536,0.022383364,0.02100378,0.04341817,0.041486453,0.043114644,0.038002223,0.044427373
60,0.16644071,0.021227824,0.020361796,0.042829532,0.040752538,0.043516252,0.03757674,0.04430355
70,0.16192621,0.02054696,0.01997936,0.042536255,0.040216543,0.039738797,0.035815205,0.04453428
80,0.16130264,0.02068864,0.019909332,0.042478904,0.040370446,0.038558926,0.036274664,0.04390773
90,0.1599516,0.019937508,0.019778013,0.04164892,0.039956562,0.038734477,0.03610084,0.0444753
100,0.15709841,0.01942306,0.020007234,0.040171362,0.03991704,0.036304668,0.035170685,0.04375798
110,0.15432973,0.019165771,0.019092843,0.0401826,0.039462846,0.035432037,0.034864657,0.044014435
120,0.15383093,0.019196672,0.019249195,0.039872944,0.038893715,0.035236906,0.034170646,0.044097517
130,0.15110283,0.020157348,0.018014688,0.040231306,0.038271658,0.034045387,0.033733074,0.04355077
140,0.15021282,0.020123208,0.018138736,0.039345484,0.038530737,0.032722928,0.03325357,0.04377157
150,0.14954051,0.018840665,0.018595587,0.039152056,0.037781533,0.033512928,0.032294843,0.044275973
160,0.14625117,0.019023703,0.017353192,0.039048903,0.038036317,0.031388037,0.03279685,0.043772064
170,0.1473805,0.018340094,0.018467955,0.038674872,0.037622843,0.03113863,0.03286354,0.043909106
180,0.14449403,0.018536773,0.01761799,0.038733564,0.03652422,0.030372154,0.032195676,0.043616932
190,0.14430217,0.018638873,0.017810928,0.037898332,0.03745475,0.029899076,0.031424332,0.04340639
200,0.14403534,0.019562833,0.017436422,0.03723973,0.03737331,0.029348653,0.031708468,0.04352919
10,0.23075184,0.027380884,0.029011954,0.046306454,0.044145487,0.09165048,0.062282268,0.04630942
20,0.19171494,0.023013486,0.023799215,0.043736,0.04287288,0.060175303,0.050787568,0.0446343
30,0.17882095,0.021179272,0.021843044,0.04384977,0.041310735,0.050995886,0.047446195,0.0443086
40,0.1717678,0.020086953,0.020712309,0.043080784,0.041177798,0.048622712,0.043276086,0.044355065
50,0.16729559,0.020174166,0.020579863,0.0419549,0.040157713,0.044305965,0.041632697,0.043872133
60,0.16357861,0.020051926,0.019966748,0.040941685,0.03955994,0.043411557,0.038929112,0.044344086
70,0.15953743,0.019948967,0.018811015,0.041090764,0.039138105,0.040705577,0.03862224,0.044376194
80,0.15767564,0.019046964,0.019085638,0.040497527,0.039614573,0.03975949,0.03722504,0.043818183
90,0.15469418,0.018855944,0.018516878,0.040233962,0.038785186,0.03741435,0.037238095,0.043937374
100,0.15310694,0.019103458,0.018361399,0.039639253,0.038662147,0.036174726,0.03641719,0.043668058
110,0.15251385,0.019655462,0.018193327,0.03940971,0.03887619,0.035390954,0.03569809,0.04356851
120,0.15085179,0.0206972,0.017418552,0.03913411,0.037830107,0.034652922,0.035634525,0.043383304
130,0.14767471,0.018230308,0.017703315,0.03913478,0.03719616,0.032855574,0.035208046,0.043680985
140,0.14791662,0.018218018,0.017803961,0.03904423,0.036558192,0.034853917,0.03452515,0.043199822
150,0.14753096,0.017128902,0.018941475,0.038625684,0.03727903,0.0317256,0.034129906,0.043277998
160,0.14566395,0.017775064,0.018021334,0.038593963,0.036258582,0.031314295,0.034008726,0.043516874
170,0.14429536,0.018441,0.017366134,0.03820921,0.03630251,0.03082065,0.0337502,0.043161616
180,0.1435,0.019451357,0.016479928,0.037766837,0.035604842,0.031219669,0.03430028,0.043285944
190,0.1445675,0.02063427,0.016475096,0.037458386,0.036507335,0.03008251,0.0340802,0.04383765
200,0.14124183,0.018891389,0.016424706,0.038755897,0.03508519,0.029148787,0.032697175,0.043314997
10,0.21306728,0.027084036,0.02822495,0.045599643,0.04408997,0.06821866,0.056095596,0.045062784
20,0.18404886,0.022380522,0.023430938,0.04344811,0.042861536,0.050055895,0.048647135,0.04460028
30,0.17648345,0.021552874,0.023712117,0.04262614,0.041973557,0.043538023,0.04259322,0.044281732
40,0.16541189,0.019821651,0.020739071,0.042145908,0.04117741,0.040302634,0.040579714,0.04401854
50,0.16142263,0.019541984,0.02006015,0.0410639,0.04104136,0.036960002,0.0404032,0.04405221
60,0.15755911,0.019673353,0.019788543,0.039987233,0.040531434,0.035001848,0.036768507,0.044328332
70,0.15567857,0.018933063,0.019596469,0.040283985,0.040095855,0.033465363,0.037510794,0.04374917
80,0.15356874,0.019937921,0.018691959,0.03950694,0.039789047,0.0328611,0.036770545,0.043566205
90,0.15271655,0.021083679,0.018350905,0.039520565,0.03973894,0.030529955,0.036632925,0.043439727
100,0.15122452,0.020182692,0.018605357,0.039311778,0.03888858,0.030678654,0.03530666,0.04347657
110,0.1480113,0.018759368,0.017957915,0.038912818,0.038885783,0.029468168,0.035249725,0.04415571
120,0.14532983,0.018713297,0.017449912,0.038534477,0.038460575,0.027933748,0.035224862,0.043279786
130,0.14474899,0.019646257,0.0168803,0.038212515,0.038581334,0.028594462,0.034123417,0.04317253
140,0.14603265,0.017357403,0.019009555,0.03853531,0.038835336,0.02670348,0.03326469,0.04397345
150,0.1417142,0.017811079,0.016538568,0.039180692,0.037851464,0.027339246,0.03372485,0.043555737
160,0.14058797,0.018842222,0.016590498,0.037962243,0.037184294,0.025910463,0.032663118,0.043409377
170,0.14012705,0.017771149,0.016796725,0.037450083,0.037625697,0.026115006,0.03288667,0.043447424
180,0.14162554,0.019610459,0.017126366,0.037229132,0.036499377,0.025210414,0.033191796,0.043393947
190,0.14083336,0.018529179,0.01759882,0.03752267,0.037016194,0.024916958,0.031828135,0.042929128
200,0.13944857,0.01810494,0.017114518,0.037852947,0.03729418,0.024485618,0.031569187,0.043027252
10,0.23076908,0.029191237,0.032935183,0.044286583,0.044102438,0.078761205,0.059653763,0.04461096
20,0.19026832,0.024341008,0.024700193,0.043260366,0.04216229,0.05347104,0.049128123,0.04503206
30,0.17396402,0.0204475,0.021997515,0.041684866,0.04181283,0.04746136,0.04396335,0.044120565
40,0.16643861,0.020657897,0.020199537,0.041813698,0.04100429,0.042677615,0.041178867,0.044088826
50,0.16317558,0.020989204,0.019485561,0.041249786,0.041154075,0.04086799,0.038917124,0.044241525
60,0.15759376,0.019556224,0.018934308,0.0402691,0.0396157,0.03836232,0.038087882,0.04400285
70,0.15643805,0.019756375,0.01858998,0.04009682,0.040214706,0.037411723,0.03728252,0.04399766
80,0.15464573,0.020458598,0.018090604,0.040164847,0.03982692,0.035170034,0.03643672,0.04441332
90,0.15123315,0.018795079,0.018274313,0.039886594,0.039105874,0.03403523,0.034770355,0.043980848
100,0.15074266,0.020611828,0.017584087,0.039206214,0.038764156,0.033146903,0.035272986,0.043535072
110,0.14884363,0.0206918,0.017449934,0.038641132,0.038072664,0.031719368,0.0345211,0.04354967
120,0.14803195,0.018621735,0.018471286,0.03908298,0.038296953,0.030773357,0.033061694,0.043720294
130,0.14540893,0.018445654,0.017756127,0.03820999,0.038121466,0.029265147,0.033363298,0.04394213
140,0.14363843,0.018761694,0.017153572,0.037905093,0.036995728,0.02935469,0.033159595,0.043724082
150,0.1429102,0.020023538,0.016658938,0.0370211,0.03673084,0.02881037,0.033251595,0.04332367
160,0.14152366,0.018932035,0.016729875,0.03739423,0.03659588,0.028389547,0.03240249,0.04348163
170,0.13938051,0.01818889,0.01660259,0.036382258,0.035774015,0.027323155,0.0327409,0.04375255
180,0.1398646,0.018487923,0.016332986,0.03737181,0.036373675,0.02696323,0.032645654,0.044067007
190,0.13861898,0.018431729,0.016641876,0.03610163,0.036341835,0.026599487,0.031410534,0.0433535
200,0.13725512,0.018067852,0.016187565,0.03610348,0.035851113,0.026485015,0.032027572,0.043157097
