,0,1,2
0,CKS2,SLC29A2,1.2300820350646973
1,KDR,TYMS,1.2103618383407593
2,LMTK2,SLC29A1,1.1539291143417358
3,DGKA,SLC29A2,1.1485950946807861
4,FLT1,SLC29A2,1.144449234008789
5,ABCC10,TK2,1.1424765586853027
6,DCK,DGKA,1.111743450164795
7,FLT1,SLC28A1,1.0792425870895386
8,ABCC10,EPHB1,1.067938208580017
9,CDA,HIPK1,1.0675071477890015
10,DCK,KDR,1.0485310554504395
11,CDKL5,RRM1,1.0477042198181152
12,AURKAIP1,SLC28A1,1.0461056232452393
13,CDA,CDC42BPA,1.0347633361816406
14,CDA,GRK6,1.0297495126724243
15,HCK,SLC29A2,1.029719352722168
16,DCK,STK17A,1.0252161026000977
17,CDA,MAP4K5,1.0231995582580566
18,ITPKC,SLC29A1,1.0205022096633911
19,DCK,HCK,1.0148890018463135
20,PLK3,SLC29A1,1.013200283050537
21,CDA,RPS6KL1,1.0110762119293213
22,DCK,WNK4,1.0083558559417725
23,ABCC10,ITPKC,1.0077595710754395
24,ATR,RRM1,1.0048112869262695
25,DCK,PLK3,1.0015239715576172
26,ABCB1,FLT1,0.9937888979911804
27,CALM1,SLC29A1,0.991830050945282
28,GRK6,SLC28A1,0.9886846542358398
29,HIPK1,RRM1,0.9875838160514832
30,CAMK1D,RRM1,0.987305223941803
31,ABCB1,STYXL1,0.9855467677116394
32,RIPK1,TYMS,0.984478235244751
33,CDA,TNNI3K,0.9811167120933533
34,CSNK1E,TYMS,0.9794875383377075
35,ABCC10,CSK,0.9758161306381226
36,FER,SLC29A2,0.974617600440979
37,CAMK1,SLC28A1,0.9737955331802368
38,DCK,FER,0.9710216522216797
39,TYMS,TYRO3,0.9680494070053101
40,CAMK1,SLC29A1,0.9669397473335266
41,FER,SLC29A1,0.9588403701782227
42,CDA,RIPK4,0.9552485942840576
43,DCK,RIPK4,0.9499761462211609
44,ABCC10,TAB2,0.9491690993309021
45,AURKA,TYMS,0.9485599994659424
46,PRKD3,SLC29A2,0.9474807977676392
47,ABCC10,MAP3K7,0.9448259472846985
48,SLC29A2,STK17A,0.9441652297973633
49,CDA,PKMYT1,0.9437136650085449
50,ABCB1,STK17A,0.9428229331970215
51,SLC28A1,UCK1,0.9424916505813599
52,MAP3K7,SLC28A1,0.9415960311889648
53,MAPKAPK3,SLC28A1,0.9402614831924438
54,ABCB1,CALM1,0.937258780002594
55,RIPK4,RRM1,0.9354006052017212
56,ABCC10,RBM12,0.9324640035629272
57,RIPK1,RRM1,0.9298095703125
58,CDA,CSNK1D,0.9231917858123779
59,CDA,MAP2K7,0.9223184585571289
60,PKIA,SLC28A1,0.9214525818824768
61,SLC29A2,STYXL1,0.9211062788963318
62,SLC29A1,SNRK,0.9200848340988159
63,MAP2K7,SLC28A1,0.9178839921951294
64,TAOK3,TYMS,0.9161826372146606
65,PRKD2,SLC29A2,0.91519695520401
66,MAPKAPK3,TYMS,0.914818525314331
67,ABCB1,STK33,0.9108718633651733
68,ASPM,SLC28A1,0.9104998111724854
69,PRKD3,SLC29A1,0.908864438533783
70,ABCB1,MAPKAPK3,0.9072268009185791
71,ABCB1,MAP3K7,0.901097297668457
72,DCK,PAK1,0.8976496458053589
73,STK33,TYMS,0.8951271772384644
74,RIPK2,TYMS,0.8932002782821655
75,PKIA,TYMS,0.8919427394866943
76,ABCB1,PKIA,0.8866686820983887
77,CDKN2A,SLC29A1,0.8862745761871338
78,ABCC10,RIPK2,0.8859089612960815
79,ABCC10,MAPKAPK2,0.8850792646408081
80,NEK6,SLC29A2,0.8848150372505188
81,SLC29A1,STYXL1,0.884624719619751
82,SLC29A2,TAOK3,0.8843709826469421
83,SLC29A1,TNNI3K,0.8841858506202698
84,CDKN2A,RRM1,0.8841159343719482
85,CMPK1,PRKAG3,0.8827697038650513
86,SLC28A1,STYXL1,0.8824516534805298
87,SLC29A2,TAB2,0.881112813949585
88,PRKD2,TYMS,0.8804618120193481
89,CMPK1,STK33,0.8792517781257629
90,ABCC10,ASPM,0.8717719912528992
91,PAK1,SLC28A1,0.8686559200286865
92,MAPKAPK2,SLC29A1,0.8678988218307495
93,ABCC10,PRKD2,0.8643704056739807
94,SLC28A1,STK17A,0.8554699420928955
95,SLC29A1,STK33,0.8534643054008484
96,SLC28A1,TAB2,0.8495273590087891
97,MAGI3,SLC29A2,0.8445663452148438
98,CDKN2A,CMPK1,0.8444157242774963
99,RRM1,UCK1,0.843756914138794
100,MAPKAPK2,RRM1,0.8414222002029419
101,RRM1,SPHK1,0.8413052558898926
102,CMPK1,CSNK1D,0.8405934572219849
103,DCK,PANK2,0.8397905826568604
104,CMPK1,RIPK4,0.8382151126861572
105,DCK,VRK3,0.8360192775726318
106,DCK,NEK6,0.835379958152771
107,CMPK1,ITPKC,0.8341672420501709
108,ABCC10,VRK3,0.833678126335144
109,SLC29A1,TAB2,0.8314672708511353
110,ABCB1,SMAD4,0.8301466703414917
111,SLC29A1,TAOK3,0.826797366142273
112,ABCB1,PANK2,0.8171449899673462
113,ABCB1,MAPKAP1,0.8152961730957031
114,ABCB1,VRK3,0.8113687634468079
115,RRM1,STYXL1,0.8067816495895386
116,ABCC10,MAGI3,0.8036245107650757
117,CMPK1,PRKD3,0.7979724407196045
118,MARK1,TYMS,0.7918877005577087
119,SLC29A2,SMAD4,0.7874493598937988
120,ABCB1,MARK1,0.7863731384277344
121,CMPK1,MARK1,0.783042311668396
122,ATM,TP53,0.7811560034751892
123,CMPK1,NEK6,0.7795734405517578
124,RRM1,STK17A,0.7784439325332642
125,CMPK1,PANK2,0.7780159711837769
126,CMPK1,SMAD4,0.776757001876831
127,SPHK1,TYMS,0.7727092504501343
128,MAGI3,TYMS,0.7685864567756653
129,SLC29A1,VRK3,0.7680982947349548
130,SLC28A1,SMAD4,0.7567859888076782
131,RRM1,TAB2,0.7501143217086792
132,AK1,DCK,0.747477650642395
133,CMPK1,PRKD2,0.744615912437439
134,AK1,CMPK1,0.7299500703811646
135,MAPKAP1,SLC28A1,0.7299073338508606
136,KRAS,NF2,0.7060913443565369
137,KRAS,NPNT,0.7007999420166016
138,AK1,SLC29A2,0.700708270072937
139,KRAS,ST6GALNAC5,0.6974552273750305
140,KRAS,MUC17,0.6970915198326111
141,AK1,RRM1,0.6917805671691895
142,KRAS,OTOF,0.6899265050888062
143,KRAS,RIOK1,0.6891513466835022
144,AK1,SLC28A1,0.687038779258728
145,KRAS,SCN8A,0.6861044764518738
146,MAPKAP1,TYMS,0.6736657619476318
147,KRAS,RREB1,0.6657232642173767
148,KRAS,MTR,0.6624870896339417
149,KRAS,RUNX2,0.6593021750450134
150,KRAS,WASF3,0.6550915837287903
151,KRAS,RTEL1,0.6480109095573425
152,RPS6KA6,TP53,0.6324997544288635
153,ABCA12,TP53,0.6246354579925537
154,BRCA2,PARP1,0.6204394102096558
155,KRAS,POLR3B,0.5667538642883301
156,ACSM4,KRAS,0.530937671661377
157,AFTPH,KRAS,0.5233665704727173
158,APC,TP53,0.5141885876655579
159,CDA,RRM1,0.4946221113204956
160,MAPKAP1,MED23,0.48538124561309814
161,CACNA1A,KRAS,0.4835248589515686
162,PARP1,PIK3CA,0.48349910974502563
163,BMP2K,KRAS,0.4801759421825409
164,DCK,RRM1,0.47983241081237793
165,KDM5B,KRAS,0.47967129945755005
166,KDM2A,KRAS,0.479394793510437
167,DOCK3,KRAS,0.4771914780139923
168,DYSF,KRAS,0.47304052114486694
169,GRIN2B,KRAS,0.4682980179786682
170,ACVR2A,KRAS,0.4647327661514282
171,BCL2,TP53,0.4604170322418213
172,PIK3CA,TP53,0.4599572420120239
173,MAPK1,PARP1,0.4528907537460327
174,EIF3A,KRAS,0.45059794187545776
175,FBN1,KRAS,0.44396984577178955
176,AURKA,NACA,0.43182671070098877
177,KRAS,RAG1,0.42751044034957886
178,MDM2,MTOR,0.427044153213501
179,EGFR,MAPK1,0.403624564409256
180,EIF5B,NACA,0.40042251348495483
181,RRM1,SLC29A2,0.39904120564460754
182,RRM1,SLC28A1,0.39040446281433105
183,FH,RBBP8,0.38592684268951416
184,AURKA,EIF3C,0.3776642680168152
185,FH,MAPKAP1,0.37439560890197754
186,CDA,PTPRD,0.37062403559684753
187,MARK2,TP53,0.35598278045654297
188,DCK,PTPRD,0.3524808883666992
189,HSP90AB1,TYMS,0.3510819375514984
190,ABCB1,RNF213,0.34882864356040955
191,CUX1,TP53,0.3481427729129791
192,DLGAP3,MED23,0.34427520632743835
193,AARS2,MED23,0.3376055061817169
194,KDR,PARP1,0.3360130190849304
195,DLGAP3,FH,0.33176666498184204
196,BRCA2,PIK3CA,0.3264768123626709
197,CSK,ITGA6,0.3262989819049835
198,HSP90AB1,SLC29A2,0.32493558526039124
199,ALK,PIK3CA,0.32092955708503723
200,CDA,PTPRF,0.32077500224113464
201,ATM,MAPK1,0.32044273614883423
202,CDCA8,NACA,0.3197437524795532
203,DLGAP3,EIF3C,0.3196031153202057
204,MDM2,TYMS,0.31954675912857056
205,AARS2,EIF3C,0.3167846202850342
206,RAD54L,TP53,0.31512650847435
207,MST1R,TP53,0.3116866946220398
208,AARS2,FH,0.30998125672340393
209,ALK,TP53,0.30995845794677734
210,CMPK1,PTPRD,0.3086974024772644
211,EGFR,HMGCR,0.30823251605033875
212,ALK,EGFR,0.3061886727809906
213,HSP90AB1,RRM1,0.30596527457237244
214,KRAS,SPHK1,0.3040241599082947
215,APC,PARP1,0.3029117286205292
216,MRPS5,NACA,0.3027666211128235
217,CMPK1,PTPRF,0.30169743299484253
218,DCK,PTPRF,0.3008140027523041
219,EMC7,NACA,0.3002656400203705
220,HSP90AA1,SLC29A2,0.2977771759033203
221,NACA,POLR3B,0.29703760147094727
222,HSP90AA1,RRM1,0.29684674739837646
223,AURKA,RBBP8,0.2939956784248352
224,MAPKAPK2,TP53,0.29319530725479126
225,MDM2,PIK3CA,0.29235386848449707
