,0,1,2
0,ABCC10,STK17A,1.288137435913086
1,DCK,HIPK1,1.1749308109283447
2,DCK,TAOK3,1.1256777048110962
3,CKS2,DCK,1.1214561462402344
4,HCK,SLC28A1,1.1157418489456177
5,FER,TYMS,1.1094756126403809
6,CKS2,TYMS,1.1059105396270752
7,CSNK1E,TYMS,1.1000640392303467
8,ABCB1,DAPK2,1.0932203531265259
9,PANK2,SLC29A2,1.0804870128631592
10,DCK,UCK1,1.0773584842681885
11,CAMK1D,DCK,1.075780987739563
12,ABCC10,MAP4K5,1.0721759796142578
13,ABCC10,DGKA,1.0682697296142578
14,PI4K2A,TYMS,1.0644111633300781
15,PRKAG3,SLC29A2,1.0580720901489258
16,ABCC10,AURKAIP1,1.0533592700958252
17,ABCB1,CAMK1,1.0486997365951538
18,ABCC10,NEK6,1.0442824363708496
19,SLC29A2,STYXL1,1.042964220046997
20,CDA,SPHK1,1.0419411659240723
21,ABCC10,UCK1,1.0397424697875977
22,SLC28A1,STYXL1,1.038092851638794
23,PKIA,SLC29A1,1.0366415977478027
24,ABCB1,RIPK2,1.0342397689819336
25,ABCB1,RBM12,1.0340720415115356
26,ABCB1,TK2,1.0338653326034546
27,LMTK2,TYMS,1.0312625169754028
28,ABCB1,MAP3K7,1.0298460721969604
29,AK1,RRM1,1.027444839477539
30,PKMYT1,SLC29A2,1.0255004167556763
31,CDKN2A,DCK,1.0222115516662598
32,CMPK1,RIPK1,1.0214923620224
33,CAMK1D,CMPK1,1.0180761814117432
34,RIPK4,SLC29A2,1.0180087089538574
35,CDA,PKMYT1,1.0088279247283936
36,SLC29A2,STK33,1.0061256885528564
37,CSNK1D,SLC29A1,1.0055114030838013
38,CDA,LMTK2,1.0046982765197754
39,ABCC10,TAB2,1.004331350326538
40,GRK6,RRM1,1.0042859315872192
41,ASPM,DCK,1.0031522512435913
42,PRKD3,RRM1,0.9993710517883301
43,PKMYT1,SLC29A1,0.9963449239730835
44,SLC28A1,STK33,0.9961251020431519
45,KRAS,PARP1,0.9935773015022278
46,KDR,SLC28A1,0.9893293380737305
47,ABCB1,TAB2,0.9874981641769409
48,SPHK1,TYMS,0.987391471862793
49,ASPM,SLC28A1,0.986767053604126
50,CDA,CDC42BPA,0.9861558675765991
51,CDC42BPA,SLC28A1,0.9817349910736084
52,FLT1,RRM1,0.9806778430938721
53,SLC28A1,SPHK1,0.9801456928253174
54,ABCB1,LMTK2,0.9778488278388977
55,SLC29A1,STYXL1,0.975744366645813
56,DGKA,RRM1,0.9689903259277344
57,DCK,RIPK4,0.9682730436325073
58,CMPK1,MAP3K7,0.9670023322105408
59,CDA,RIPK4,0.9647260904312134
60,CALM1,CDA,0.9634346961975098
61,MAPKAPK3,SLC29A2,0.963341474533081
62,DCK,TNNI3K,0.9612910747528076
63,CDKL5,DCK,0.9569501876831055
64,CALM1,SLC28A1,0.9567287564277649
65,SLC28A1,TAB2,0.9548664093017578
66,CDA,KHK,0.9531938433647156
67,CDC42BPA,SLC29A1,0.9491283893585205
68,CMPK1,CSNK1D,0.9448896646499634
69,PKIA,RRM1,0.9448021650314331
70,SLC29A2,TAB2,0.9423786401748657
71,SLC29A1,UCK1,0.9364926815032959
72,ABCC10,CDKN2A,0.9304507374763489
73,MAPKAPK3,SLC29A1,0.9291950464248657
74,TNNI3K,TYMS,0.9266782999038696
75,PRKAG3,RRM1,0.9211339950561523
76,CDA,CDKL5,0.9134683012962341
77,ATR,SLC28A1,0.9122752547264099
78,ABCB1,MAPKAPK2,0.9059748649597168
79,KHK,SLC29A1,0.9049040079116821
80,RPS6KL1,SLC28A1,0.9043838977813721
81,KDR,RRM1,0.9029573202133179
82,ABCB1,KDR,0.9013758897781372
83,SLC29A1,TAB2,0.9007359147071838
84,ABCC10,CDKL5,0.8942731618881226
85,CDA,MAPKAPK2,0.8929319381713867
86,ABCB1,CDKL5,0.8897771835327148
87,CMPK1,RPS6KL1,0.8895527124404907
88,EPHB1,SLC29A2,0.8887951374053955
89,DCK,SMAD4,0.888362467288971
90,AURKA,DCK,0.8882300853729248
91,RPS6KL1,SLC29A1,0.8837488889694214
92,ABCB1,TNNI3K,0.8830703496932983
93,ABCC10,AURKA,0.8780357837677002
94,ABCC10,SNRK,0.8769079446792603
95,ABCC10,MAPKAPK2,0.8768453598022461
96,CMPK1,SNRK,0.8762774467468262
97,CMPK1,RIPK4,0.876177191734314
98,ABCB1,SNRK,0.8733702898025513
99,EPHB1,TYMS,0.8713093996047974
100,CMPK1,MAPKAPK3,0.8656853437423706
101,EPHB1,SLC29A1,0.862944483757019
102,SLC29A1,TNNI3K,0.8618601560592651
103,KHK,RRM1,0.8585104942321777
104,CMPK1,KHK,0.8572944402694702
105,ABCC10,TYRO3,0.8563218116760254
106,RRM1,STYXL1,0.8535181879997253
107,CDA,VRK3,0.8527073264122009
108,AURKA,SLC29A2,0.8460350036621094
109,ABCB1,VRK3,0.8396636247634888
110,CALM1,RRM1,0.8300813436508179
111,ABCC10,VRK3,0.8274742364883423
112,SLC29A1,SNRK,0.8214727640151978
113,SLC29A2,VRK3,0.8187793493270874
114,RPS6KL1,RRM1,0.817366361618042
115,KRAS,MTOR,0.8117339611053467
116,CMPK1,EPHB1,0.8104956150054932
117,SLC29A2,TYRO3,0.8104256391525269
118,SLC28A1,TYRO3,0.8041701316833496
119,RRM1,TAB2,0.7940735816955566
120,ABCB1,MARK1,0.7940306663513184
121,CMPK1,TYRO3,0.7897995710372925
122,CDA,MARK1,0.7816011905670166
123,PAK1,TYMS,0.7803791165351868
124,CSK,RRM1,0.7646211981773376
125,MARK1,SLC29A2,0.7641870379447937
126,MARK1,SLC28A1,0.7636920809745789
127,CMPK1,PAK1,0.7617595791816711
128,MARK1,SLC29A1,0.759253203868866
129,PDPK1,SLC29A2,0.7403174638748169
130,PDPK1,SLC28A1,0.7276130318641663
131,PAK1,RRM1,0.7048652172088623
132,PDPK1,SLC29A1,0.7014132738113403
133,AURKA,NACA,0.6925795078277588
134,KRAS,ST6GALNAC5,0.6849061250686646
135,KRAS,SH3TC2,0.6830544471740723
136,KRAS,NPNT,0.6796164512634277
137,KRAS,OTOF,0.6758232116699219
138,KRAS,TMED10,0.6757222414016724
139,KRAS,SCN8A,0.6738621592521667
140,KRAS,RIOK1,0.6712220907211304
141,EGFR,MTOR,0.671201229095459
142,KRAS,PAMR1,0.668394148349762
143,KRAS,MTR,0.6655447483062744
144,PDPK1,RRM1,0.6637927293777466
145,KRAS,WASF3,0.6530902981758118
146,KRAS,RUNX2,0.648966372013092
147,KRAS,RREB1,0.6408896446228027
148,KRAS,RTEL1,0.6364542841911316
149,RPS6KA6,TP53,0.6229292750358582
150,CSNK1G3,TP53,0.6218107342720032
151,KRAS,ZC3H13,0.6104669570922852
152,ABCA12,TP53,0.5957703590393066
153,ABCC2,SLCO1B3,0.5954682230949402
154,PHKA2,TP53,0.592126727104187
155,ALK,PARP1,0.5722335577011108
156,FH,NACA,0.5721149444580078
157,ABCC10,RRM1,0.5578721761703491
158,ABCB1,HERC5,0.5553755164146423
159,MDM2,TP53,0.5432512760162354
160,BCL2,PTPRD,0.5069441795349121
161,KRAS,MAPKAP1,0.5061586499214172
162,MAPKAP1,MED23,0.491299569606781
163,APC,PARP1,0.4876158833503723
164,EGFR,TP53,0.4834291636943817
165,AFTPH,KRAS,0.46897128224372864
166,EIF3C,EIF5B,0.45609620213508606
167,DLGAP3,MED23,0.4554024636745453
168,MED23,TAF1,0.45531535148620605
169,CACNA1A,KRAS,0.4399331212043762
170,DOCK3,KRAS,0.4379177689552307
171,BMP2K,KRAS,0.43675535917282104
172,KALRN,KRAS,0.4362218379974365
173,KDM2A,KRAS,0.4347565770149231
174,GLI3,KRAS,0.4337373971939087
175,COPA,KRAS,0.4324410557746887
176,AURKA,RBBP8,0.4320981800556183
177,KRAS,SPHK1,0.4296930134296417
178,DYSF,KRAS,0.42886215448379517
179,ABCC2,BCL2,0.4273608326911926
180,KRAS,POLR2A,0.42653197050094604
181,AAMP,KRAS,0.42241552472114563
182,GRIN2B,KRAS,0.4211251735687256
183,BRCA2,EGFR,0.42002934217453003
184,AARS2,MED23,0.4151380956172943
185,EIF5B,RBBP8,0.40226417779922485
186,MRPS5,NACA,0.39594706892967224
187,KDM6A,TP53,0.3944847881793976
188,PTPRF,SLCO1B3,0.3923167884349823
189,BCL2,SLCO1B3,0.38731884956359863
190,EIF5B,MAPKAP1,0.3781595528125763
191,CDCA8,NACA,0.3767707049846649
192,GAS2L2,KRAS,0.37348508834838867
193,AURKA,TAF1,0.3732287883758545
194,DLGAP3,EIF3C,0.37073108553886414
195,ABCC10,PTPRD,0.3692295551300049
196,DLGAP3,EIF5B,0.3649137318134308
197,EIF3A,KRAS,0.3644353747367859
198,EIF3C,FH,0.36327216029167175
199,ERCC3,KRAS,0.36181649565696716
200,EIF5B,TAF1,0.3602524697780609
201,KDM5B,KRAS,0.35810425877571106
202,EP400,KRAS,0.3562827408313751
203,PBRM1,TP53,0.3559556007385254
204,EIF3C,TAF1,0.35474443435668945
205,APC,MTOR,0.35182347893714905
206,HERC5,RNF213,0.35115060210227966
207,PIK3CA,TP53,0.350369930267334
208,ABCC10,RNF213,0.3485246002674103
209,COL12A1,KRAS,0.34666284918785095
210,MAPK1,PARP1,0.3452063798904419
211,DIDO1,KRAS,0.3433149456977844
212,ATR,EGFR,0.3419930934906006
213,CDA,PDE3A,0.33853209018707275
214,AARS2,EIF3C,0.33795487880706787
215,MAPK1,TP53,0.33673256635665894
216,DCK,PDE3A,0.33512961864471436
217,KRAS,MED23,0.3350168764591217
218,BRCA2,PIK3CA,0.3322775363922119
219,NACA,POLR3B,0.33147096633911133
220,HERC5,PTPRD,0.3311867117881775
221,MYH4,TP53,0.3300577402114868
222,MAPKAPK2,TP53,0.32971346378326416
223,AARS2,EIF5B,0.32618585228919983
224,TP53,ZFPM2,0.324264258146286
225,HSP90AB1,TYMS,0.3216508626937866
226,HSP90AB1,SLC28A1,0.3197268545627594
227,BCL2,TP53,0.31952065229415894
228,DLGAP3,RBBP8,0.3166152834892273
229,MAPKAP1,TAF1,0.31524667143821716
230,DCK,HSP90AB1,0.3149945139884949
231,MED23,MRPS5,0.31361404061317444
232,ATM,MDM2,0.31260165572166443
233,MST1R,TP53,0.31165075302124023
234,FH,RBBP8,0.3113654851913452
