,0,1,2
0,KHK,SLC28A1,1.1414084434509277
1,DCK,UCK1,1.0812335014343262
2,RPS6KL1,SLC29A2,1.0426089763641357
3,ABCC10,TNNI3K,1.030743956565857
4,PANK2,SLC28A1,1.0283515453338623
5,ITPKC,SLC28A1,1.0130138397216797
6,ASPM,SLC29A1,0.9902090430259705
7,MARK1,SLC29A1,0.9892777800559998
8,ABCC10,RIPK4,0.9878201484680176
9,ABCB1,DAPK2,0.9874200820922852
10,EPHB1,TYMS,0.9870561957359314
11,LMTK2,SLC29A2,0.9849828481674194
12,ABCC10,FER,0.9753084182739258
13,PI4K2A,SLC28A1,0.9728667736053467
14,DGKA,RRM1,0.9716880321502686
15,CDKN2A,DCK,0.9716213345527649
16,DCK,RIPK1,0.9704225659370422
17,CSNK1D,SLC29A1,0.9625810384750366
18,STK17A,TYMS,0.9587235450744629
19,CDA,STK17A,0.9577776193618774
20,ABCB1,WNK4,0.955541729927063
21,CKS2,TYMS,0.9491735100746155
22,MAPKAPK2,SLC29A2,0.9476594924926758
23,DCK,ITPKC,0.9445436000823975
24,RIPK2,SLC29A2,0.9432200193405151
25,DCK,LMTK2,0.9421893954277039
26,PKMYT1,SLC28A1,0.9408853054046631
27,SLC29A2,SNRK,0.9374165534973145
28,ABCC10,TAOK3,0.9358721971511841
29,MAP2K7,SLC29A2,0.9347161054611206
30,CMPK1,RIPK4,0.9329661130905151
31,MAGI3,SLC28A1,0.9309409856796265
32,CMPK1,MAPKAPK2,0.9283942580223083
33,CDC42BPA,DCK,0.9274084568023682
34,HCK,TYMS,0.9253306984901428
35,CDA,STK33,0.9252389073371887
36,FLT1,TYMS,0.9209784269332886
37,MAP4K5,SLC29A2,0.919757604598999
38,CDA,MAPKAPK3,0.9181208610534668
39,SLC28A1,SNRK,0.9174847602844238
40,CDA,RIPK4,0.9170887470245361
41,DCK,MAPKAPK3,0.9140041470527649
42,SLC29A1,STK17A,0.912971019744873
43,ABCB1,FER,0.9106667637825012
44,DCK,RIPK4,0.9093296527862549
45,CALM1,TYMS,0.9056605100631714
46,DCK,FLT1,0.904670774936676
47,ABCB1,CKS2,0.9030038118362427
48,MAP4K5,SLC29A1,0.9029729962348938
49,ABCC10,AK1,0.8975690007209778
50,ABCC10,KDR,0.8966578841209412
51,LMTK2,TYMS,0.8964216709136963
52,SLC29A1,TK2,0.8958258628845215
53,DCK,HIPK1,0.8957144021987915
54,CDA,RIPK2,0.8956670761108398
55,ABCC10,CAMK1,0.8902630805969238
56,PRKD2,SLC29A1,0.8896133899688721
57,PRKD2,SLC28A1,0.8885007500648499
58,SLC28A1,TAOK3,0.8883664011955261
59,ABCB1,ITPKC,0.8883065581321716
60,ABCC10,PLK3,0.8876310586929321
61,AURKAIP1,SLC29A2,0.8868199586868286
62,ABCB1,CDC42BPA,0.8848390579223633
63,CMPK1,FLT1,0.8832629919052124
64,CDA,PLK3,0.8811103701591492
65,CKS2,RRM1,0.8787456750869751
66,CAMK1,TYMS,0.8781905174255371
67,ABCC10,MAP4K5,0.875583291053772
68,SLC29A2,SPHK1,0.8732359409332275
69,CMPK1,HIPK1,0.8724905252456665
70,CSNK1D,TYMS,0.8724592924118042
71,CDA,MAGI3,0.8653503656387329
72,AURKAIP1,CMPK1,0.8625351786613464
73,SLC29A1,SPHK1,0.8614712953567505
74,CDA,CDKN2A,0.8611371517181396
75,AURKAIP1,DCK,0.8584079146385193
76,ABCC10,PRKAG3,0.8530529141426086
77,AURKA,CDA,0.8527094721794128
78,MARK1,RRM1,0.8524675965309143
79,CDC42BPA,RRM1,0.8510726690292358
80,PI4K2A,RRM1,0.8499190211296082
81,ABCB1,HIPK1,0.8494924306869507
82,PRKAG3,TYMS,0.8472414016723633
83,CDA,PRKAG3,0.8450174927711487
84,PKMYT1,RRM1,0.8423577547073364
85,ABCB1,PLK3,0.8374788761138916
86,ABCB1,ASPM,0.8339686393737793
87,MAP2K7,RRM1,0.8219648003578186
88,MAP3K7,TYMS,0.8216503262519836
89,TAB2,TYMS,0.8128187656402588
90,CMPK1,MAP3K7,0.8119460344314575
91,CDA,MAP3K7,0.8117361068725586
92,ABCB1,MAP2K7,0.8103429675102234
93,SLC29A1,TAB2,0.8084149360656738
94,SLC29A2,TAB2,0.801948070526123
95,CDA,STYXL1,0.7966122627258301
96,SLC28A1,TAB2,0.7945324778556824
97,CMPK1,STYXL1,0.7942540645599365
98,CDA,SMAD4,0.7941915988922119
99,RRM1,TK2,0.7898356914520264
100,CSNK1E,SLC28A1,0.7738638520240784
101,SPHK1,TYMS,0.7708055973052979
102,CMPK1,CSK,0.7683132886886597
103,ABCC10,ATR,0.7681336402893066
104,RRM1,STK33,0.7666841149330139
